,Metros cuadrados,Metros cuadrados techados,Parqueo,Dormitorios,Antiguedad del edificio,Parque cercano,Piso en el que se encuentra,Alquiler,Mantenimiento,Departamento,Ate Vitarte,Barranco,Breña,Callao_Luriganch_Ancon_Carabay_PuentePie,Cañete,Chaclacayo,Chorrillos_VillaSalvador_VMT,Cienegui_Pachacam_Lurin,Comas,Jesus Maria,La Molina,La Victoria,Lince,Los Olivos,Magdalena,Magdalena del Mar,Mala,Miraflores,Pucusana,Pueblo Libre,Punta Hermosa,Punta Negra,Rimac_Agust_Independen,San Antonio,San Bartolo,San Borja,San Isidro,San Luis,San Martín de Porres,San Miguel,Santa Anita,Santa Maria del Mar,Santiago de Surco,Surquillo,log_alquiler
60,198.0,198.0,2,3.0,0.0,1,5,4648.0,650.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.444192298531748
61,220.0,220.0,2,2.0,0.0,0,2,6304.0,800.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.748939631537715
62,90.0,90.0,1,2.0,8.0,1,3,2412.0,180.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.788211557847076
63,117.0,117.0,1,3.0,5.0,1,2,3200.0,350.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.070906088787819
64,60.0,60.0,1,1.0,8.0,1,3,1930.0,180.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.5652752818989315
65,33.0,33.0,0,1.0,0.0,1,5,1000.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.907755278982137
66,196.0,196.0,2,3.0,0.0,0,2,6304.0,610.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.748939631537715
67,80.0,80.0,0,2.0,1.0,1,5,2000.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.600902459542082
68,120.0,120.0,2,2.0,5.0,1,9,5100.0,350.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.536995818712418
69,60.0,60.0,1,1.0,8.0,1,3,1930.0,180.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5652752818989315
70,125.0,125.0,0,2.0,5.0,0,7,2490.0,200.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.820037989458753
71,129.0,129.0,1,2.0,5.0,0,8,3600.0,530.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1886891244442
72,105.0,105.0,1,3.0,4.0,1,4,4360.0,350.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38022733634308
73,90.0,85.0,1,2.0,7.0,1,6,3050.0,400.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.022896869601457
