,Ubicacion,Metros cuadrados,Metros cuadrados techados,Parqueo,Medio baños,Dormitorios,Antiguedad del edificio,Parque cercano,Piso en el que se encuentra,Venta,Mantenimiento,Link Pagina,Link imagen
261,"av mateo pumacahua,  Santiago de Surco, Lima",89m²Superficie total,95m²Superficie techada,0Estacionamientos,No hay informacion,4Dormitorios,A estrenarAntigüedad,No hay informacion,No hay informacion,"S/ 332,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-santiago-de-surco-lima-4-dormitorios-13442448,https://img10.naventcdn.com/avisos/111/00/13/44/24/48/720x532/200320648.jpg
262," Santiago de Surco, Lima",416m²Superficie total,416m²Superficie techada,2Estacionamientos,1Medio baño,4Dormitorios,A estrenarAntigüedad,No hay informacion,No hay informacion,"S/ 2,920,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-santiago-de-surco-lima-4-dormitorios-57812535,https://img10.naventcdn.com/avisos/111/00/57/81/25/35/720x532/203248608.jpg
263,"¡BAJO DE PRECIO! CASA COMO TERRENO EN SAN MARTÍN DE PORRES,  San Diego, San Martín de Porres",120m²Superficie total,140m²Superficie techada,No hay informacion,No hay informacion,5Dormitorios,27Antigüedad,Parques Cercanos ,No hay informacion,"S/ 280,500",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-san-diego-san-martin-de-porres-5-a-mas-dormitorios-13476851,https://img10.naventcdn.com/avisos/111/00/13/47/68/51/720x532/200943500.jpg
264," San Juan de Miraflores, Lima",160m²Superficie total,160m²Superficie techada,2Estacionamientos,No hay informacion,7Dormitorios,3Antigüedad,No hay informacion,No hay informacion,"S/ 402,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-san-juan-de-miraflores-lima-5-a-mas-dormitorios-58237797,https://img10.naventcdn.com/avisos/111/00/58/23/77/97/720x532/210167588.jpg
265,"Camacho La Molina,  Camacho, La Molina",1000m²Superficie total,300m²Superficie techada,4Estacionamientos,1Medio baño,5Dormitorios,40Antigüedad,Parques Cercanos ,No hay informacion,"S/ 4,816,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-camacho-la-molina-5-a-mas-dormitorios-13315442,https://img10.naventcdn.com/avisos/111/00/13/31/54/42/720x532/197708527.jpg
266,"RINCONADA DEL LAGO,  Rinconada Del Lago, La Molina",490m²Superficie total,450m²Superficie techada,3Estacionamientos,No hay informacion,4Dormitorios,A estrenarAntigüedad,No hay informacion,No hay informacion,"S/ 3,652,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-rinconada-del-lago-la-molina-4-dormitorios-12843226,https://img10.naventcdn.com/avisos/111/00/12/84/32/26/720x532/191793413.jpg
267,"Av. La Paz 2100 San Miguel,  San Miguel, Lima",51m²Superficie total,51m²Superficie techada,0Estacionamientos,No hay informacion,2Dormitorios,A estrenarAntigüedad,No hay informacion,No hay informacion,"S/ 231,372",180,https://urbania.pe/inmueble/venta-de-casa-en-san-miguel-lima-2-dormitorios-58343348,https://img10.naventcdn.com/avisos/111/00/58/34/33/48/720x532/211720323.jpg
268," El Trébol, Los Olivos",160m²Superficie total,160m²Superficie techada,No hay informacion,No hay informacion,2Dormitorios,A estrenarAntigüedad,No hay informacion,No hay informacion,"S/ 809,171",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-el-trebol-los-olivos-2-dormitorios-58324449,https://img10.naventcdn.com/avisos/111/00/58/32/44/49/720x532/211410812.jpg
269," Magdalena, Lima",142m²Superficie total,142m²Superficie techada,0Estacionamientos,1Medio baño,4Dormitorios,10Antigüedad,No hay informacion,No hay informacion,"S/ 540,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-magdalena-lima-4-dormitorios-58203695,https://img10.naventcdn.com/avisos/111/00/58/20/36/95/720x532/209548791.jpg
270,"MZ. E-1 LOTE 9 ZONA EL CARMEN,  El Silencio, Punta Hermosa",400m²Superficie total,400m²Superficie techada,No hay informacion,No hay informacion,5Dormitorios,30Antigüedad,Parques Cercanos ,No hay informacion,"S/ 830,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-el-silencio-punta-hermosa-5-a-mas-dormitorios-12950031,https://img10.naventcdn.com/avisos/111/00/12/95/00/31/720x532/199115258.jpg
